编号,名称,链接,类型,作者,国家,简介,评分
23,流俗地,https://book.douban.com/subject/35430425/,小说,黎紫书,马来西亚,"《亚洲周刊》2020年十大小说  华语文学的惊喜收获
王德威×王安忆 倾力推荐   “黎紫书为当代马华文学注入几分少见的温情”
《流俗地》以马来西亚锡都，被... ",9.2
24,波兰人,https://book.douban.com/subject/36808795/,小说,(南非) J.M.库切 ,日,"◎诺奖得主J.M. 库切最新小说《波兰人》中文世界首次出版
◎一部21世纪罗曼蒂克消亡实录，一部库切版《爱欲之死》
◎性在泛滥，爱在消亡。在这个时代，爱比性... ",8.2
25,遥远的救世主,https://book.douban.com/subject/1322455/,小说,豆豆 ,中,"这是一部可以傲然独尊的长篇小说。也是一部可遇不可求的完美佳作。
豆豆，以她的才华，探索一个有机的、无定形的、陌生的、暧昧的和未曾臻达的世界。男女主人公那浓墨... ",8.6
26,束草的冬天,https://book.douban.com/subject/37042948/,小说,埃莉萨·秀雅·迪萨潘,法,现在是束草的冬天，这里是韩国与朝鲜边境的一座旅游小镇，一个年轻的法韩混血女孩在一家破旧的招待所做前台。一天晚上，来了一位罕见的客人：决心在这片荒凉的景象中寻... ,7.1
27,怪画谜案,https://book.douban.com/subject/36858240/,小说,雨穴,日,"日本国民级推理小说！《怪屋谜案》后，网红作家雨穴惊喜新作！
单本爆卖80万册，作品狂销300万册！
神级伏笔，高能反转，中文简体版专属双重赠品！
·
【编辑... ",7.4
28,许三观卖血记,https://book.douban.com/subject/4760224/,小说,余华 ,中,《许三观卖血记》是余华1995年创作的一部长篇小说。《许三观卖血记》以博大的温情描绘了磨难中的人生，以激烈的故事形式表达了人在面对厄运时求生的欲望。小说讲述... ,9.2
29,素食者,https://book.douban.com/subject/26735623/,小说,韓江 ,中,"她想變成一棵樹
現實卻無法成為她的沃土！
在夢裡，我正倒立著……突然發現從我身上冒出了枝葉，從手上長出了樹根……一直伸到地面，不斷地、不斷地……然後從兩腿之... ",8.4
30,失踪的孩子,https://book.douban.com/subject/30172069/,小说,埃莱娜·费兰特,意,"“我的整个生命，只是一场为了提升社会地位的低俗斗争。”
全球畅销近千万册被翻译成40多种语言
《我的天才女友》《新名字的故事》《离开的，留下的》——
那不勒... ",9.2
31,夜晚的潜水艇,https://book.douban.com/subject/35005045/,小说,陈春成 ,中,"★ 《亚洲周刊》2020年度十大小说
★ 豆瓣读书2020年度中国文学（小说类）Top1
★ 2021年宝珀理想国文学奖首奖作品
★ 2020年单向街书店文... ",8.3
32,我的天才女友,https://book.douban.com/subject/26878124/,小说,埃莱娜·费兰特,意,"只有你身为女人才会知道这些丑陋的秘密
两个女人，50年的友谊和战争
过去五年，几乎所有欧美读者都在谈论她、
全球畅销百万册 被翻译成40种语言
《金融时报》... ",8.7
33,白夜行,https://book.douban.com/subject/10554308/,小说,东野圭吾,日,"东野圭吾万千书迷心中的无冕之王
周刊文春推理小说年度BEST10第1名
本格推理小说年度BEST10第2名
《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备... ",9.2
34,献灯使,https://book.douban.com/subject/36831351/,小说,多和田叶子,日,"芥川奖·谷崎润一郎奖·泉镜花奖满贯得主，
比村上春树更接近诺贝尔文学奖的日本女作家，
前所未有的柔软乌托邦，东大教授盛赞闪光之作！
——————————
【... ",8.4
35,献给阿尔吉侬的花束,https://book.douban.com/subject/26362836/,小说,丹尼尔·凯斯,美,声称能改造智能的科学实验在白老鼠阿尔吉侬身上获得了突破性的进展，下一步急需进行人体实验。个性和善、学习态度积极的心智障碍者查理·高登成为最佳人选。手术成功后... ,9.1
36,不做告别,https://book.douban.com/subject/36438836/,小说,韩江 ,中,"韩国大山文学奖
韩国金万重文学奖
韩国三星湖岩艺术奖
法国美第奇文学奖
法国埃米尔吉梅亚洲文学奖
获奖作品
1诺贝尔文学奖热门提名人选、亚洲首位布克国际文学... ",7.6
37,额尔古纳河右岸,https://book.douban.com/subject/34432750/,小说,迟子建 ,中,《额尔古纳河右岸》是一部描写鄂温克人生存现状及百年沧桑的长篇小说，展示了弱小民族在严酷的自然环境和现代文明的挤压下的顽强生命力和不屈不挠的民族精神，以及丰富... ,9
38,杀死一只知更鸟,https://book.douban.com/subject/26879778/,小说,哈珀·李,美,《杀死一只知更鸟》是公认的美国文学经典，而它在教育领域的意义却使其突破了国界，成为世界上最有名的成长小说之一。《杀死一只知更鸟》在西方世界的影响力巨大，是美... ,9.3
39,两京十五日,https://book.douban.com/subject/35080870/,小说,马伯庸 ,中,"《两京十五日》是马伯庸创作的一本长篇历史小说。
本书故事源于《明史》里关于朱瞻基的一段真实记载——“夏四月，以南京地屡震，命往居守。五月庚辰，仁宗不豫，玺书... ",8.1
40,无条件投降博物馆,https://book.douban.com/subject/36668331/,小说,杜布拉夫卡·乌格雷西奇,荷,"柏林是一座博物馆之城。
1994年夏，无条件投降博物馆关闭，数万苏俄士兵离开柏林。不久后，有了一个“俄国人在柏林”的展览，里面有张长长的纸条，写着被俄国人毁... ",8.7
41,羊奶煮羊羔,https://book.douban.com/subject/36528801/,小说,尤里·波利亚科夫,俄,"一个草包如何在一夜之间被包装成文坛明星？
一出文学荒唐剧，尽显社会怪现状
俄罗斯国民级讽刺文学大师、“当代布尔加科夫”的世纪奇书
在失常的世界，幽默是一种反... ",9.1
42,团圆记,https://book.douban.com/subject/36956148/,小说,杨云苏 ,中,"编辑推荐：
◉《幸得诸君慰平生》作者杨云苏（故园风雨前）长篇小说，特写中国式家庭关系，献给每个漂泊无依的灵魂。
◉  穷极一生的出发，都是为了回家的那一刻
... ",8.7
43,清明上河图密码,https://book.douban.com/subject/26265745/,小说,北京联合出版公司 ,日,全图824位人物，每个人都有名有姓，佯装、埋伏在舟船车轿、酒肆楼阁中。看似太平盛世，其实杀机四伏。翻开本书，在小贩的叫卖声中，金、辽、西夏、高丽等国的间谍、... ,8.2
44,植物妻子,https://book.douban.com/subject/36164047/,小说,韩江,韩,◆诺贝尔文学奖热门候选，亚洲首位布克国际文学奖得主韩江短篇小说集。荣膺意大利马拉帕蒂文学奖、西班牙圣克莱门特文学奖、入选国际都柏林文学奖短名单、挪威未来图书... ,7.5
45,在细雨中呼喊,https://book.douban.com/subject/20421947/,小说,余华 ,中,《在细雨中呼喊》是二十世纪九十年代的经典文本，是余华的第一部长篇力作。小说描述了一位江南少年的成长经历和心灵历程。《在细雨中呼喊 》的结构来自于对时间的感受... ,8.8
46,生死疲劳,https://book.douban.com/subject/35587028/,小说,莫言 ,中,"◆ 不看不知道，莫言真幽默！在极度痛苦时笑出声来，获得内心深处的解脱。
◆ 莫言：“诺奖的评委主要是因为读完了《生死疲劳》，才把这个奖项授给了我。”
◆ 不... ",9
47,房思琪的初恋乐园,https://book.douban.com/subject/27614904/,小说,林奕含 ,中,"令人心碎却无能为力的真实故事。
向死而生的文学绝唱 打动万千读者的年度华语小说。
李银河 戴锦华 骆以军 张悦然  詹宏志 蒋方舟 等多位学者作家社会名人郑... ",9.2
48,女人的胜利,https://book.douban.com/subject/36727316/,小说,余华 ,中,"◆一边崩溃一边自愈，快活一天就是胜利。
◆余华中短篇里极为罕见的现实主义风格！亲切日常，轻松好读。余华：“这是我所有中短篇小说中与现实最为接近的作品。”
◆... ",7.1
49,卡拉马佐夫兄弟,https://book.douban.com/subject/25887924/,小说,陀思妥耶夫斯基 (Ф.М.Достоевский) ,日,本书系俄国大作家陀思妥耶夫斯基代表作之一。小说通过一桩真实的弑父案，描写老卡拉马佐夫同三个儿子即两代人之间的尖锐冲突。老卡拉马佐夫贪婪好色，独占妻子留给儿子... ,9.6
50,献给阿尔吉侬的花束,https://book.douban.com/subject/35989392/,小说,丹尼尔·凯斯,美,"【编辑推荐】
◆豆瓣9.1高分科幻，豆瓣图书Top 250总榜No. 47，豆瓣科幻小说榜Top10，6.6万人评分，10万人想读。Goodreads 4.... ",9.1
51,命运,https://book.douban.com/subject/36084340/,小说,蔡崇达 ,中,"编辑推荐：
继畅销四百万册的非虚构作品《皮囊》之后，睽违八年，蔡崇达携长篇小说新作《命运》重磅归来！
献给想要改变命运的你：“只要活下去，命运终是赢不了我们... ",8.9
